Invoice,Product Name,Product Category,Product Price (IDR),Product Quantity,Shipping Fee (IDR),Total Amount (IDR),Order Created Date,Courier Name,Courier Service,Order Status,Region/Province,ECommerce
221000815026,Baju Koko lengan pendek hitam,Pakaian,3758000,42,20000,3758000,29-04-2022,J&T,Regular,Order Berhasil,Lampung,Bukalapak
221001362829,Baju Koko lengan pendek hitam,Pakaian,1444000,16,20000,1444000,09-03-2022,Grab,Same Day,Order Gagal,Papua,Bukalapak
201002523855,Pashmina ceruty premium basic,Pakaian,124700,3,20000,124700,08-04-2020,JNE,Regular,Order Gagal,Kalimantan Selatan,Bukalapak
201003319897,Payung lipat 42 inch,Accessories,2073100,49,20000,2073100,10-09-2020,SiCepat,Regular,Order Berhasil,Jawa Barat,Bukalapak
211003747319,Sweater unisex kuning,Pakaian,4871000,49,20000,4871000,11-06-2021,Grab,Same Day,Order Berhasil,Kalimantan Timur,Bukalapak
221004138506,Pashmina ceruty premium basic,Pakaian,1276400,36,20000,1276400,10-09-2022,J&T,Regular,Order Berhasil,Jambi,Bukalapak
201004265946,Baju Gamis bahan katun gold,Pakaian,4814000,60,20000,4814000,02-02-2020,JNE,Regular,Order On Process,Nusa Tenggara Barat,Bukalapak
211004296553,Seragam Sekolah SD paket lengkap,Pakaian,11510800,92,20000,11510800,03-06-2021,Grab,Same Day,Order Berhasil,Jawa Tengah,Bukalapak
211005668421,Baju Gamis bahan katun gold,Pakaian,4254700,53,20000,4254700,01-04-2021,J&T,Regular,Order Berhasil,Banten,Bukalapak
211006874927,Baju Koko lengan pendek hitam,Pakaian,4203000,47,20000,4203000,30-12-2021,JNE,Regular,Order Berhasil,Kalimantan Timur,Bukalapak
211006874927,Tas Sekolah tahan air 15.6 inch,Accessories,2054000,6,20000,2054000,30-12-2021,JNE,Regular,Order Berhasil,Kalimantan Timur,Bukalapak
201007454927,Baju Koko lengan pendek hitam,Pakaian,732000,8,20000,732000,14-01-2020,J&T,Regular,Order Berhasil,Jawa Barat,Bukalapak
221008039163,Tas Sekolah tahan air 15.6 inch,Accessories,3071000,9,20000,3071000,03-08-2022,Grab,Same Day,Order Gagal,Kalimantan Timur,Bukalapak
211008094728,Sepatu Sekolah leher panjang hitam bertali,Sepatu,32783000,67,20000,32783000,05-09-2021,SiCepat,Regular,Order Berhasil,Aceh,Bukalapak
221008351260,Jas Hujan setelan bahan polymer,Pakaian,1531100,9,20000,1531100,18-08-2022,SiCepat,Regular,Order Gagal,Bali,Bukalapak
201010047321,Baju Koko lengan pendek hitam,Pakaian,910000,10,20000,910000,15-10-2020,JNE,Regular,Order Berhasil,Kalimantan Timur,Bukalapak
221012533768,Batik Couple modis merah maroon,Pakaian,3835000,35,20000,3835000,29-06-2022,SiCepat,Regular,Order On Process,Banten,Bukalapak
221013028936,Baju Koko lengan pendek hitam,Pakaian,2156000,24,20000,2156000,08-09-2022,J&T,Regular,Order Berhasil,Jawa Tengah,Bukalapak
201013551355,Baju Gamis bahan katun gold,Pakaian,2576800,32,20000,2576800,29-05-2020,Grab,Same Day,Order On Process,Jawa Timur,Bukalapak
201013717537,Seragam Sekolah SD paket lengkap,Pakaian,144900,1,20000,144900,01-11-2020,JNE,Regular,Order On Process,Nusa Tenggara Barat,Bukalapak
221013755268,Baju Koko lengan pendek hitam,Pakaian,2423000,27,20000,2423000,07-10-2022,SiCepat,Regular,Order Berhasil,Jawa Timur,Bukalapak
201013991515,Tas Sekolah tahan air 15.6 inch,Accessories,5783000,17,20000,5783000,29-11-2020,Grab,Same Day,Order On Process,Jawa Tengah,Bukalapak
221014126810,Baju Koko lengan pendek hitam,Pakaian,6517000,73,20000,6517000,11-05-2022,J&T,Regular,Order Berhasil,Nusa Tenggara Timur,Bukalapak
211014197007,Baju Gamis bahan katun gold,Pakaian,4174800,52,20000,4174800,12-05-2021,J&T,Regular,Order Berhasil,Sumatera Utara,Bukalapak
201014519995,Seragam Sekolah SD paket lengkap,Pakaian,7139300,57,20000,7139300,09-12-2020,SiCepat,Regular,Order Berhasil,Nusa Tenggara Timur,Bukalapak
