Invoice,Product Name,Product Category,Product Price (IDR),Product Quantity,Shipping Fee (IDR),Total Amount (IDR),Order Created Date,Courier Name,Courier Service,Order Status,Region/Province,ECommerce
20010153Y8CW66,Tas Sekolah tahan air 15.6 inch,Accessories,379000,45,2000,17057000,01-01-2020,JNE,Regular,Order Berhasil,Jawa Timur,Shopee
20010176X0XX76,Payung lipat 42 inch,Accessories,42900,83,2000,3562700,01-01-2020,JNE,Regular,Order Berhasil,Kalimantan Barat,Shopee
20010176X0XX76,Baju Koko lengan pendek hitam,Pakaian,89900,8,2000,721200,01-01-2020,JNE,Regular,Order Berhasil,Kalimantan Barat,Shopee
20010187I5JB87,Pashmina ceruty premium basic,Pakaian,34900,3,2000,106700,01-01-2020,JNE,Regular,Order Berhasil,Jawa Barat,Shopee
20010190D4VD66,Baju Gamis bahan katun gold,Pakaian,79000,74,2000,5848000,01-01-2020,JNE,Regular,Order Berhasil,Jawa Timur,Shopee
20010180E6MX15,Sweater unisex kuning,Pakaian,99000,53,2000,5249000,01-01-2020,JNE,Regular,Order Berhasil,Jawa Barat,Shopee
20010180E6MX15,Batik Couple modis merah maroon,Pakaian,113900,43,2000,4899700,01-01-2020,JNE,Regular,Order Berhasil,Jawa Barat,Shopee
20010168A3GZ99,Sepatu Sekolah leher panjang hitam bertali,Sepatu,345900,16,2000,5536400,01-01-2020,GO-JEK,Regular,Order Berhasil,Maluku,Shopee
20010162A7SL98,Seragam Sekolah SD paket lengkap,Pakaian,114900,32,2000,3678800,01-01-2020,JNE,Regular,Order Berhasil,Sumatera Utara,Shopee
20010131Y5DW41,Jas Hujan setelan bahan polymer,Pakaian,149000,13,2000,1939000,01-01-2020,JNE,Regular,Order Berhasil,Sumatera Selatan,Shopee
20010216M4JI46,Batik Couple modis merah maroon,Pakaian,113900,59,2000,6722100,02-01-2020,Grab,Same Day,Order Berhasil,Jawa Barat,Shopee
20010254Y7MC16,Baju Koko lengan pendek hitam,Pakaian,89900,7,2000,631300,02-01-2020,JNE,Regular,Order Berhasil,Papua,Shopee
20010209M4KP45,Sepatu Sekolah leher panjang hitam bertali,Sepatu,345900,30,2000,10379000,02-01-2020,JNE,Regular,Order Berhasil,Jawa Timur,Shopee
20010274T1IS98,Tas Sekolah tahan air 15.6 inch,Accessories,379000,20,2000,7582000,02-01-2020,GO-JEK,Same Day,Order Berhasil,Bali,Shopee
20010236O6AA70,Payung lipat 42 inch,Accessories,42900,53,2000,2275700,02-01-2020,JNE,Regular,Order Berhasil,Jawa Barat,Shopee
20010295O7SL14,Pashmina ceruty premium basic,Pakaian,34900,13,2000,455700,02-01-2020,GO-JEK,Same Day,Order Berhasil,Jawa Barat,Shopee
20010222N6WY48,Baju Gamis bahan katun gold,Pakaian,79000,57,2000,4505000,02-01-2020,JNE,Regular,Order Berhasil,Sulawesi Tengah,Shopee
20010292K6MY25,Sweater unisex kuning,Pakaian,99000,82,2000,8120000,02-01-2020,JNE,Regular,Order Berhasil,Bangka Belitung,Shopee
20010292K6MY25,Jas Hujan setelan bahan polymer,Pakaian,149000,16,2000,2386000,02-01-2020,JNE,Regular,Order Berhasil,Bangka Belitung,Shopee
20010294H8BO23,Seragam Sekolah SD paket lengkap,Pakaian,114900,39,2000,4483100,02-01-2020,JNE,Regular,Order Berhasil,Sulawesi Utara,Shopee
20010320G4HP68,Tas Sekolah tahan air 15.6 inch,Accessories,379000,25,2000,9477000,03-01-2020,JNE,Regular,Order Berhasil,Banten,Shopee
