Invoice,Product Name,Product Category,Product Price (IDR),Product Quantity,Shipping Fee (IDR),Total Amount (IDR),Order Created Date,Courier Name,Courier Service,Order Status,Region/Province,ECommerce
INV/20200101/XX/I/85797235,Seragam Sekolah SD paket lengkap,Pakaian,124900,32,20000,4016800,01-01-2020,SiCepat,Regular,Order Berhasil, MALUKU UTARA,Tokopedia
INV/20200101/XX/I/42884671,Tas Sekolah tahan air 15.6 inch,Accessories,359000,45,20000,16175000,01-01-2020,JNE,Regular,Order On Process, SUMATERA UTARA,Tokopedia
INV/20200101/XX/I/23148317,Batik Couple modis merah maroon,Pakaian,119000,43,20000,5137000,01-01-2020,JNE,Regular,Order On Process, NUSA TENGGARA TIMUR,Tokopedia
INV/20200101/XX/I/18849345,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,16,20000,6978400,01-01-2020,JNE,Regular,Order Berhasil, LAMPUNG,Tokopedia
INV/20200101/XX/I/18849345,Jas Hujan setelan bahan polymer,Pakaian,159000,13,20000,2087000,01-01-2020,JNE,Regular,Order Berhasil, LAMPUNG,Tokopedia
INV/20200101/XX/I/94939882,Baju Koko lengan pendek hitam,Pakaian,89000,8,20000,732000,01-01-2020,JNE,Regular,Order On Process, SULAWESI SELATAN,Tokopedia
INV/20200101/XX/I/59594922,Sweater unisex kuning,Pakaian,99000,53,20000,5267000,01-01-2020,SiCepat,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200101/XX/I/59594922,Pashmina ceruty premium basic,Pakaian,34900,3,20000,124700,01-01-2020,SiCepat,Regular,Order Berhasil, JAWA BARAT,Tokopedia
INV/20200101/XX/I/76637646,Payung lipat 42 inch,Accessories,42900,83,20000,3580700,01-01-2020,JNE,Regular,Order On Process, KALIMANTAN TIMUR,Tokopedia
INV/20200101/XX/I/20874700,Baju Gamis bahan katun gold,Pakaian,89000,74,20000,6606000,01-01-2020,JNE,Regular,Order Berhasil, ACEH,Tokopedia
INV/20200102/XX/I/95319591,Tas Sekolah tahan air 15.6 inch,Accessories,359000,20,20000,7200000,02-01-2020,SiCepat,Regular,Order Berhasil, LAMPUNG,Tokopedia
INV/20200102/XX/I/81981973,Pashmina ceruty premium basic,Pakaian,34900,13,20000,473700,02-01-2020,SiCepat,Regular,Order Berhasil, JAWA TIMUR,Tokopedia
INV/20200102/XX/I/24435112,Batik Couple modis merah maroon,Pakaian,119000,59,20000,7041000,02-01-2020,JNE,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200102/XX/I/39539253,Sweater unisex kuning,Pakaian,99000,82,20000,8138000,02-01-2020,JNE,Regular,Order Berhasil, ACEH,Tokopedia
INV/20200102/XX/I/65518646,Payung lipat 42 inch,Accessories,42900,53,20000,2293700,02-01-2020,JNE,Regular,Order On Process, BALI,Tokopedia
INV/20200102/XX/I/11849996,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,30,20000,13067000,02-01-2020,SiCepat,Regular,Order Berhasil, JAMBI,Tokopedia
INV/20200102/XX/I/76369395,Seragam Sekolah SD paket lengkap,Pakaian,124900,39,20000,4891100,02-01-2020,GO-JEK,Same Day,Order Berhasil, SULAWESI SELATAN,Tokopedia
INV/20200102/XX/I/76369395,Baju Gamis bahan katun gold,Pakaian,89000,57,20000,5093000,02-01-2020,GO-JEK,Same Day,Order Berhasil, SULAWESI SELATAN,Tokopedia
INV/20200102/XX/I/12421384,Baju Koko lengan pendek hitam,Pakaian,89000,7,20000,643000,02-01-2020,GO-JEK,Same Day,Order Berhasil, KALIMANTAN TIMUR,Tokopedia
INV/20200102/XX/I/44282858,Jas Hujan setelan bahan polymer,Pakaian,159000,16,20000,2564000,02-01-2020,JNE,Regular,Order Berhasil, SUMATERA UTARA,Tokopedia
INV/20200103/XX/I/99241942,Sepatu Sekolah leher panjang hitam bertali,Sepatu,434900,72,20000,31332800,03-01-2020,GO-JEK,Same Day,Order On Process, D.K.I. JAKARTA,Tokopedia
INV/20200103/XX/I/66517333,Baju Gamis bahan katun gold,Pakaian,89000,46,20000,4114000,03-01-2020,JNE,Regular,Order On Process, NUSA TENGGARA BARAT,Tokopedia
INV/20200103/XX/I/81861046,Tas Sekolah tahan air 15.6 inch,Accessories,359000,25,20000,8995000,03-01-2020,JNE,Regular,Order On Process, JAWA BARAT,Tokopedia
INV/20200103/XX/I/13291127,Payung lipat 42 inch,Accessories,42900,62,20000,2679800,03-01-2020,JNE,Regular,Order Berhasil, D.K.I. JAKARTA,Tokopedia
